"","receta","ingredientes"
"1",595,"apples"
"2",595,"oranges"
"3",595,"lemons"
"4",595,"dill pickles"
"5",595,"saladitos"
"6",828,"hamburger"
"7",828,"mild"
"8",828,"onion"
"9",828,"cloves garlic"
"10",828,"kidney beans"
"11",828,"pasta"
"12",828,"mushrooms"
"13",828,"tomato sauce"
"14",828,"italian seasoning"
"15",828,"pepper"
"16",828,"pepper"
"17",828,"basil"
"18",1,"onions"
"19",1,"lean beef brisket"
"20",1,"cloves garlic"
"21",1,"green chiles"
"22",1,"tomato sauce"
"23",1,"tomatoes"
"24",1,"cumin"
"25",1,"salt"
"26",1,"oregano"
"27",1,"mustard"
"28",1,"tequila"
"29",1,"beer"
"30",1,"chili powder"
"31",1,"beef bouillon cubes"
"32",2,"crescent rolls"
"33",2,"cream cheese"
"34",2,"mayo"
"35",2,"hidden valley ranch dressing"
"36",2,"following vegetables"
"37",3,"graham cracker crumbs"
"38",3,"butter"
"39",3,"powdered sugar"
"40",3,"cream cheese"
"41",3,"eggs"
"42",3,"sugar"
"43",3,"vanilla"
"44",3,"sour cream"
"45",3,"canned filling"
"46",4,"yeast"
"47",4,"flour"
"48",4,"salt"
"49",4,"sugar"
"50",4,"dough enhancer"
"51",4,"eggs"
"52",4,"water"
"53",5,"rice"
"54",5,"urad"
"55",5,"chana"
"56",5,"yellow split peas"
"57",5,"salt"
"58",5,"chili powder"
"59",5,"onion"
"60",5,"carrot"
"61",5,"coconut"
"62",6,"milk"
"63",6,"eggs"
"64",6,"flour"
"65",6,"salt"
"66",6,"baking power"
"67",6,"sugar"
"68",6,"vegetable"
"69",7,"prosciutto"
"70",7,"pancetta"
"71",7,"italian sausages without fennel seed"
"72",7,"butter"
"73",7,"extralarge eggs"
"74",7,"bread crumbs"
"75",7,"parmesan cheese"
"76",7,"salt black pepper taste"
"77",7,"chicken broth"
"78",7,"butter"
"79",7,"mascarpone"
"80",7,"heavy cream"
"81",7,"salt black pepper taste"
"82",7,"freshly grated nutmeg"
"83",7,"parmesan cheese"
"84",8,"milk"
"85",8,"bread flour"
"86",8,"sugar"
"87",8,"salt"
"88",8,"yeast"
"89",9,""
"90",9,"chocolate bread"
"91",9,"heavy cream"
"92",9,"eggs"
"93",9,"sugar"
"94",10,"unbleached flour"
"95",10,"wheat flour"
"96",10,"sugar"
"97",10,"baking powder"
"98",10,"reducedfat margarine"
"99",10,"whites"
"100",10,"vanilla extract"
"101",10,"almond extract"
"102",10,"almonds"
"103",11,"crackers"
"104",11,"pine sprigs"
"105",11,"green onions"
"106",11,"crumbled blue cheese"
"107",11,"blanched toasted"
"108",11,"almonds"
"109",11,"cream cheese"
"110",11,"jars pasteurized"
"111",11,"process cheese spread wpimento"
"112",12,"sweetened water"
"113",12,"almond meats"
"114",12,"water"
"115",12,"water"
"116",12,"agaragar"
"117",12,"water"
"118",12,"water"
"119",12,"sugar"
"120",13,"soft butter"
"121",13,"almonds"
"122",13,"golden brown sugar"
"123",13,"golden brown sugar firmly packed"
"124",13,"pound cake"
"125",14,"condensed milk"
"126",14,"chocolate"
"127",14,"salt"
"128",14,"vanilla"
"129",14,"coconut"
"130",14,"almonds"
"131",15,"almond paste"
"132",15,"whites"
"133",15,"salt"
"134",15,"vanilla"
"135",15,"confectioners sugar"
"136",15,"almonds"
"137",16,"butter"
"138",16,"brown sugar"
"139",16,"sugar"
"140",16,"yolk"
"141",16,"vanilla"
"142",16,"flour"
"143",16,"chocolate chips"
"144",16,"nuts"
"145",17,"yeast"
"146",17,"nonfat milk"
"147",17,"bread flour"
"148",17,"amaranth flour"
"149",17,"salt"
"150",17,"honey"
"151",17,"margarine"
"152",17,"water"
"153",17,"yeast"
"154",17,"nonfat milk"
"155",17,"bread flour"
"156",17,"amaranth flour"
"157",17,"salt"
"158",17,"honey"
"159",17,"margarine"
"160",17,"plus"
"161",17,"water"
"162",18,"granulated sugar"
"163",18,"water"
"164",18,"dried apricot"
"165",18,"almond extract"
"166",18,"pure grain alcohol"
"167",18,"water"
"168",18,"brandy"
"169",18,"yellow food"
"170",18,"food"
"171",18,"blue food"
"172",18,"glycerin"
"173",19,"grapefruit"
"174",19,"orange"
"175",19,"lemon"
"176",19,"sugar"
"177",20,"broth"
"178",20,"roux"
"179",20,"neck"
"180",20,"hardboiled"
"181",20,"parsley"
"182",20,"pimento"
"183",21,"water"
"184",21,"molasses"
"185",21,"flour"
"186",21,"brown sugar"
"187",21,"salt"
"188",21,"active yeast"
"189",22,"anicini pepe macaroni"
"190",22,"pineapple juice"
"191",22,"mandarin"
"192",22,"maraschino cherries"
"193",22,"cool whip lite"
"194",22,"sugar"
"195",22,"beaters substitute"
"196",23,"norwood"
"197",23,"celery"
"198",23,"onion"
"199",23,"garlic"
"200",23,"chili powder"
"201",23,"cumin"
"202",23,"water"
"203",23,"lentils"
"204",23,"tomatoes juice"
"205",23,"tomato paste"
"206",23,"green chilies chop"
"207",23,"kidney beans drained"
"208",23,"pepper taste"
"209",24,"small"
"210",24,"artichoke hearts"
"211",24,"ripe olives"
"212",24,"purple onion"
"213",24,"fresh parsley"
"214",24,"white wine vinegar"
"215",24,"dried"
"216",24,"salt"
"217",24,"pepper"
"218",24,"mustard"
"219",24,"extra virgin olive"
"220",24,"clove garlic"
"221",25,"unsweetened applesauce"
"222",25,"envelopes unflav"
"223",25,"sugar"
"224",25,"walnuts"
"225",25,"lemon extract"
"226",25,"vanilla extract"
"227",25,"confectioners sugar"
"228",26,"unsweetened applesauce"
"229",26,"granulated sugar"
"230",26,"brown sugar"
"231",26,"apple"
"232",26,"nutmeg"
"233",26,"allspice"
"234",26,"cloves"
"235",26,"cinnamon"
"236",27,"unsweetened apple sauce"
"237",27,"ginger"
"238",27,"cinnamon"
"239",27,"cloves"
"240",27,"mustard"
"241",27,"onion flav"
"242",27,"salt"
"243",27,"vinegar"
"244",27,"pepper"
"245",28,"butter"
"246",28,"apple"
"247",28,"sugar"
"248",28,"eggs"
"249",28,"water"
"250",28,"shredded cheddar swiss cheese"
"251",28,"cinnamon sugar"
"252",29,"butter"
"253",29,"firmly packed brown sugar"
"254",29,"crystallized ginger"
"255",29,"cooking apples"
"256",29,"lemon juice"
"257",29,"butter"
"258",29,"sugar"
"259",29,"eggs"
"260",29,"purpose flour"
"261",29,"baking powder"
"262",29,"salt"
"263",29,"cinnamon"
"264",29,"milk"
"265",29,"vanilla extract"
"266",30,"flour"
"267",30,"baking powder"
"268",30,"baking soda salt"
"269",30,"sugar"
"270",30,"cinnamon"
"271",30,"sour milk"
"272",30,"eggs"
"273",30,"apples"
"274",30,"butter"
"275",31,"sugar"
"276",31,"lighter bake"
"277",31,"eggs"
"278",31,"flour"
"279",31,"nutmeg"
"280",31,"cinnamon"
"281",31,"apples"
"282",31,"walnuts"
"283",31,"baking soda"
"284",31,"water"
"285",32,"hadrosaur meat"
"286",32,"cooking"
"287",32,"carrot"
"288",32,"celery"
"289",32,"quickcooking tapioca"
"290",32,"white wine"
"291",32,"beef bouillon granules"
"292",32,"salt"
"293",32,"cinnamon"
"294",32,"frozen apple juice concentrate"
"295",33,""
"296",33,"onions"
"297",33,"bread"
"298",33,"apples"
"299",33,"parsley"
"300",33,"currants"
"301",33,"sage"
"302",33,"salt"
"303",33,"thyme"
"304",33,"black pepper"
"305",33,"apple juice"
"306",34,"plain flour"
"307",34,"salt"
"308",34,"water"
"309",34,"tart apples"
"310",34,"white sugar"
"311",34,"warm water"
"312",34,"melted butter"
"313",34,"cinnamon"
"314",35,"bisquick"
"315",35,"milk"
"316",35,"sugar"
"317",35,"vegetable"
"318",35,"cinnamon"
"319",35,"peeled purpose apple"
"320",35,"sugar"
"321",35,"bisquick"
"322",35,"cinnamon"
"323",35,"apple"
"324",35,"lemon juice"
"325",35,"stick margarine"
"326",36,"oats"
"327",36,"flour"
"328",36,"wheat flour"
"329",36,"brown sugar"
"330",36,"baking powder"
"331",36,"baking soda"
"332",36,"salt"
"333",36,"cinnamon"
"334",36,"raisins"
"335",36,"apples"
"336",36,"honey"
"337",36,"milk"
"338",37,"sugar"
"339",37,"vegetable"
"340",37,"eggs"
"341",37,"purpose flour"
"342",37,"baking soda"
"343",37,"salt"
