"","receta","ingredientes"
"1",1,"soak apricots"
"2",1,"fresh"
"3",1,"butter"
"4",1,"thick coley"
"5",1,"salt pepper"
"6",1,"juice grated rind lemon"
"7",1,"potatopepper salad french dressing serve"
"8",1,"fresh mint sprigs garnish"
"9",2,"fish steaks"
"10",2,"milk"
"11",2,"salt"
"12",2,"breadcrumbs"
"13",2,"butter"
"14",2,"watercress"
"15",2,"lemon"
"16",3,"fish fillets flat"
"17",3,"butter print sure"
"18",3,"garlic dehy"
"19",3,"lemon fresh"
"20",3,"salt table"
"21",4,"fish fillets"
"22",4,"lemon herb dijon glaze"
"23",4,"white wine"
"24",4,"fresh herb"
"25",5,"honey"
"26",5,"mustard"
"27",5,"vinegar"
"28",5,"parsley flakes"
"29",5,"pepper sauce"
"30",5,"salt"
"31",6,"flour"
"32",6,"cloves garlic"
"33",6,"onion"
"34",6,"bell pepper"
"35",6,"celery"
"36",6,"peeled shrimp"
"37",6,"tomato sauce"
"38",6,"water"
"39",6,"claw crabmeat"
"40",6,"parsley"
"41",6,"thyme"
"42",6,"leaves"
"43",6,"frozen okra"
"44",6,"oysters juice"
"45",6,"salt pepper taste"
"46",7,"sole"
"47",7,"white"
"48",7,"cloves garlic"
"49",7,"chillies"
"50",7,"inch ginger"
"51",7,"bunch"
"52",7,"brown sugar"
"53",7,"turmeric"
"54",7,"black mustard"
"55",7,"fenugreek seeds"
"56",7,"salt"
"57",7,"lemon juice"
"58",7,"vegetable"
"59",7,"onion"
"60",7,"tomato"
"61",7,"garam masala"
"62",8,"fish"
"63",8,"lemon juice"
"64",8,"onion"
"65",8,"pimiento"
"66",8,"green pepper"
"67",8,"thick white sauce"
"68",8,"seasoning taste"
"69",9,"butter"
"70",9,"splash white wine"
"71",9,"trout filleted"
"72",9,"fish stock"
"73",9,"juice"
"74",9,"salt fresh pepper"
"75",9,"macadamia nuts"
"76",9,"heavy cream"
"77",9,"tomato sauce"
"78",9,"capers"
"79",10,"mandarines"
"80",10,"fish fillets"
"81",10,"mandarines"
"82",10,"piece fresh ginger"
"83",10,"fresh parsley"
"84",10,"onions"
"85",10,"cloves garlic"
"86",10,"olive"
"87",11,"onion"
"88",11,"rosemary"
"89",11,"butter"
"90",11,"spinach"
"91",11,"almonds"
"92",11,"rice"
"93",11,"lemon juice"
"94",11,"flounder fillets"
"95",11,"creammushroom soup"
"96",11,"water"
"97",11,"paprika"
"98",12,"olive"
"99",12,"eight tuna steaks"
"100",12,"salt pepper"
"101",12,"cherry tomatoes"
"102",12,"scallions wedges"
"103",12,"watercress leaves"
"104",12,"capers"
"105",12,"nicoise olives"
"106",12,"anchovy fillets"
"107",12,"rinsed"
"108",12,"nicoise vinaigrette"
"109",13,"salt"
"110",13,"black pepper"
"111",13,"sherry"
"112",13,"mustard"
"113",14,"tuna steaks"
"114",14,"salt"
"115",14,"black pepper"
"116",14,"chicken broth"
"117",14,"lemon juice"
"118",14,"countrystyle dijon mustard"
"119",14,"fresh chives"
"120",15,"maple syrup"
"121",15,"bluefish fillets"
"122",15,"allspice"
"123",15,"salt black pepper"
"124",16,"green beans"
"125",16,"potato"
"126",16,"green olive"
"127",17,""
"128",17,"ketchup"
"129",17,"vinegar"
"130",17,"cayenne pepper"
"131",18,"snapper"
"132",18,"oysters"
"133",18,"celery stalks"
"134",18,"shallots"
"135",18,"parsley"
"136",18,"bell peppers"
"137",18,"onion"
"138",18,"garlic head"
"139",18,"lemons"
"140",18,"flour"
"141",18,"margarine"
"142",18,"mushrooms"
"143",18,"tomatoes"
"144",18,"leaves"
"145",18,"water"
"146",19,"water"
"147",19,"butter"
"148",19,"salt"
"149",19,"leaf"
"150",19,"snapper"
"151",19,"stripped bass"
"152",19,"bass"
"153",19,"monkfish"
"154",19,"flour"
"155",19,"onion"
"156",19,"scallion"
"157",19,"salt"
"158",19,"paste"
"159",19,"vinegar"
"160",19,"water"
"161",19,"pepper"
