"","receta","ingredientes"
"1",17,"hamburger"
"2",17,"mild"
"3",17,"onion"
"4",17,"cloves garlic"
"5",17,"kidney beans"
"6",17,"pasta"
"7",17,"mushrooms"
"8",17,"tomato sauce"
"9",17,"italian seasoning"
"10",17,"pepper"
"11",17,"pepper"
"12",17,"basil"
"13",1,"seasame seeds"
"14",1,"snow peas"
"15",1,"celery"
"16",1,"cilantro"
"17",1,"pasta"
"18",1,"chicken breasts"
"19",1,"sauce"
"20",1,"rice vinegar"
"21",1,"water"
"22",1,"sugar"
"23",1,"salt"
"24",1,"ginger root"
"25",1,"garlic"
"26",1,"peanuts"
"27",1,"peanut"
"28",1,"sesame"
"29",1,"chili"
"30",2,"tumeric"
"31",2,"potatoes"
"32",2,"onion"
"33",2,"leaf"
"34",2,"cumin"
"35",2,"ginger"
"36",2,"chili powder"
"37",2,"tomatoes"
"38",2,"cabbage"
"39",2,"peas"
"40",2,"salt"
"41",3,"winter squash"
"42",3,"golden raisins"
"43",3,"shallot"
"44",3,"cardamom pods"
"45",3,"cumin"
"46",3,"dried"
"47",3,"dried apricots"
"48",3,"prunes"
"49",3,"chicken stock"
"50",3,"orange juice"
"51",3,"salt pepper"
"52",3,"lemon juice"
"53",3,"lemon zest"
"54",3,"lightly toasted almonds"
"55",3,"fresh mint leaves"
"56",3,"olive spray"
"57",4,"thin chinese flour noodles"
"58",4,"chicken breast"
"59",4,"green onions"
"60",4,"yolks"
"61",4,"peanut"
"62",4,"cool water"
"63",4,"thin"
"64",4,"chinkiang vinegar"
"65",4,"chili pepper"
"66",4,"ginger juice"
"67",4,"clove garlic"
"68",4,"sugar"
"69",5,"dried chilies seeds"
"70",5,"cayenne pepper"
"71",5,"heaping black pepperc"
"72",5,"heaping"
"73",5,"heaping caraway seeds caraway"
"74",5,"lemons zest"
"75",5,"inch piece ginger root"
"76",5,"garlic"
"77",5,"shallots"
"78",5,"anchovy paste"
"79",5,"sprigs"
"80",5,"salt"
"81",5,"vegetable"
"82",6,"onion"
"83",6,"green onion"
"84",6,"olive"
"85",6,"orange juice"
"86",6,"sauce"
"87",6,"fresh lemon juice"
"88",6,"fresh thyme leaves"
"89",6,"fresh ginger"
"90",6,"nutmeg"
"91",6,"allspice"
"92",6,"cinnamon"
"93",6,"scotch bonnet pepper"
"94",6,"serrano chili"
"95",6,"salt"
"96",6,"black pepper"
"97",7,"habanero chiles"
"98",7,"garlic"
"99",7,"lemon"
"100",7,"vinegar"
"101",7,"salt"
"102",7,"chicken wings"
"103",7,"butter"
"104",7,"plain nonfat yogurt"
"105",7,"garlic"
"106",7,"fresh cilantro"
"107",7,"lemon"
"108",7,"salt black pepper"
"109",7,"flour"
"110",8,"black pepperc"
"111",8,"caraway seeds"
"112",8,"saffron threads"
"113",8,"cardamom seeds"
"114",8,"tumeric"
"115",9,""
"116",9,"cummin seeds"
"117",9,"black pepperc"
"118",9,"cardamom seeds"
"119",9,"cinnamon sticks"
"120",9,"cloves"
"121",9,"nutmeg"
"122",10,"golden delicious"
"123",10,"walnuts"
"124",10,"packed brown sugar"
"125",10,"stick butter"
"126",10,"cinnamon"
"127",10,"dark"
"128",10,"honey"
"129",10,"fresh lemon juice"
"130",10,"crystallized ginger"
"131",11,"chicken breast"
"132",11,"fully smoked sausage"
"133",11,"lbshrimp"
"134",11,"cooking"
"135",11,"white onion"
"136",11,"bell pepper"
"137",11,"cloves garlic"
"138",11,"chicken broth"
"139",11,"uncle bens longgrain white rice"
"140",11,"green onions"
"141",11,"tomatoes"
"142",11,"tabasco sauce"
"143",11,"pepper"
"144",11,"seasoning salt"
"145",11,"black pepper"
"146",12,"canned purple plums"
"147",12,"canned peach"
"148",12,"canned mandarin"
"149",12,"mandarin"
"150",12,"brown sugar"
"151",12,"lemon rind"
"152",12,"butter"
"153",13,"flour"
"154",13,"cocoa"
"155",13,"sugar"
"156",13,"baking powder"
"157",13,"salt"
"158",14,"lemons"
"159",14,"pepperc"
"160",14,"lemon leaves"
"161",14,"leaves"
"162",15,"lean"
"163",15,"dried chinese mushrooms"
"164",15,"bean thread noodles"
"165",15,"fresh bean curd"
"166",15,"eggs"
"167",15,"sesame"
"168",15,"chicken stock"
"169",15,"sugar"
"170",15,"chinese vinegar vinegar"
"171",15,"white pepper"
"172",15,"dark sauce"
"173",15,"water"
"174",15,"scallions"
"175",15,"cilantro"
"176",15,"sesame"
"177",15,"chili"
"178",16,"cinnamon"
"179",16,"allspice"
"180",16,"cloves"
"181",16,"salt"
"182",16,"flour"
"183",16,"baking powder"
"184",16,"almonds"
"185",16,"lemon rind"
"186",16,"eggs"
"187",16,"sugar"
"188",16,"honey"
"189",16,"milk"
"190",16,"confectioners sugar"
"191",16,"almond extract"
"192",18,"amount cereal"
"193",18,"simple cereal toppers"
"194",18,"maple syrup"
"195",18,"crunchy granola"
"196",18,"apple butter"
"197",18,"dried mixed tropical fruit"
"198",18,"drained pineapple chunks"
"199",18,"bananas flaked coconut"
"200",18,"fruit preserves"
"201",18,"warmed cinnamon applesauce"
"202",18,"peanut butter semisweet chocolate"
"203",18,"special toppers"
"204",18,"saute apples butter"
"205",18,"toasted pecan pieces caramel topping"
"206",18,"dried cranberries heated cranberry"
"207",18,"ntil"
"208",19,"olive"
"209",19,"garlic"
